Folder,Filename,Type,Size (KB),Source
D:/DNQT/web-dnqt/members,A001-back.png,.png,972.09,Original
D:/DNQT/web-dnqt/members,A001-back_w1024.webp,.webp,69.63,Transformed
D:/DNQT/web-dnqt/members,A001-front.png,.png,1122.61,Original
D:/DNQT/web-dnqt/members,A001-front_w1024.webp,.webp,64.39,Transformed
D:/DNQT/web-dnqt/members,A002-back.png,.png,783.55,Original
D:/DNQT/web-dnqt/members,A002-back_w1024.webp,.webp,48.9,Transformed
D:/DNQT/web-dnqt/members,A002-front.png,.png,1069.21,Original
D:/DNQT/web-dnqt/members,A002-front_w1024.webp,.webp,61.08,Transformed
D:/DNQT/web-dnqt/members,A003-back.png,.png,1028.41,Original
D:/DNQT/web-dnqt/members,A003-back_w1024.webp,.webp,74.74,Transformed
D:/DNQT/web-dnqt/members,A003-front.png,.png,1123.07,Original
D:/DNQT/web-dnqt/members,A003-front_w1024.webp,.webp,66.43,Transformed
D:/DNQT/web-dnqt/members,A004-back.png,.png,990.16,Original
D:/DNQT/web-dnqt/members,A004-back_w1024.webp,.webp,73.35,Transformed
D:/DNQT/web-dnqt/members,A004-front.png,.png,1125.72,Original
D:/DNQT/web-dnqt/members,A004-front_w1024.webp,.webp,67.28,Transformed
D:/DNQT/web-dnqt/members,A005-back.png,.png,893.06,Original
D:/DNQT/web-dnqt/members,A005-back_w1024.webp,.webp,61.78,Transformed
D:/DNQT/web-dnqt/members,A005-front.png,.png,1150.42,Original
D:/DNQT/web-dnqt/members,A005-front_w1024.webp,.webp,68.83,Transformed
D:/DNQT/web-dnqt/members,A006-back.png,.png,939.6,Original
D:/DNQT/web-dnqt/members,A006-back_w1024.webp,.webp,61.45,Transformed
D:/DNQT/web-dnqt/members,A006-front.png,.png,1211.5,Original
D:/DNQT/web-dnqt/members,A006-front_w1024.webp,.webp,66.82,Transformed
D:/DNQT/web-dnqt/members,A007-back.png,.png,893.07,Original
D:/DNQT/web-dnqt/members,A007-back_w1024.webp,.webp,53.95,Transformed
D:/DNQT/web-dnqt/members,A007-front.png,.png,1204.66,Original
D:/DNQT/web-dnqt/members,A007-front_w1024.webp,.webp,60.15,Transformed
D:/DNQT/web-dnqt/members,A008-back.png,.png,948.12,Original
D:/DNQT/web-dnqt/members,A008-back_w1024.webp,.webp,67.49,Transformed
D:/DNQT/web-dnqt/members,A008-front.png,.png,1084.76,Original
D:/DNQT/web-dnqt/members,A008-front_w1024.webp,.webp,60.71,Transformed
D:/DNQT/web-dnqt/members,A009-back.png,.png,896.63,Original
D:/DNQT/web-dnqt/members,A009-back_w1024.webp,.webp,63.72,Transformed
D:/DNQT/web-dnqt/members,A009-front.png,.png,1171.92,Original
D:/DNQT/web-dnqt/members,A009-front_w1024.webp,.webp,70.49,Transformed
D:/DNQT/web-dnqt/members,A010-back.png,.png,913.57,Original
D:/DNQT/web-dnqt/members,A010-back_w1024.webp,.webp,60.35,Transformed
D:/DNQT/web-dnqt/members,A010-front.png,.png,1193.75,Original
D:/DNQT/web-dnqt/members,A010-front_w1024.webp,.webp,69.21,Transformed
D:/DNQT/web-dnqt/members,A011-back.png,.png,1073.64,Original
D:/DNQT/web-dnqt/members,A011-back_w1024.webp,.webp,82.4,Transformed
D:/DNQT/web-dnqt/members,A011-front.png,.png,1232.57,Original
D:/DNQT/web-dnqt/members,A011-front_w1024.webp,.webp,75.99,Transformed
D:/DNQT/web-dnqt/members,A012-back.png,.png,915.75,Original
D:/DNQT/web-dnqt/members,A012-back_w1024.webp,.webp,66.92,Transformed
D:/DNQT/web-dnqt/members,A012-front.png,.png,1051.08,Original
D:/DNQT/web-dnqt/members,A012-front_w1024.webp,.webp,62.71,Transformed
D:/DNQT/web-dnqt/members,A013-back.png,.png,1028.51,Original
D:/DNQT/web-dnqt/members,A013-back_w1024.webp,.webp,71.17,Transformed
